datetime,PM2.5,Temperature,Humidity,WindSpeed
1/1/2022 0:00,6.1,31.5,47.8,0
1/1/2022 1:00,5.9,30.9,48.6,0
1/1/2022 2:00,5.5,29.6,52.5,0.4
1/1/2022 3:00,5.8,30,50.4,0.1
1/1/2022 4:00,6.9,29.7,48.7,0
1/1/2022 5:00,8,28.9,50,0
1/1/2022 6:00,11.7,27.9,53.4,0
1/1/2022 7:00,11.9,30,49.8,0.1
1/1/2022 8:00,8.7,34,42.8,0
1/1/2022 9:00,7.3,37.7,37.1,0
1/1/2022 10:00,7.6,38.4,35.8,0.1
1/1/2022 11:00,6.5,40.5,35.1,0
1/1/2022 12:00,5.2,40.2,36.5,0.5
1/1/2022 13:00,5.3,38.2,38.3,1.2
1/1/2022 14:00,5.4,38.2,39.1,1.6
1/1/2022 15:00,5.8,37.9,41.1,1.9
1/1/2022 16:00,6.2,36.1,43.3,1.7
1/1/2022 17:00,6.7,34.7,45.7,1.3
1/1/2022 18:00,7.4,35,43,0.3
1/1/2022 19:00,9.2,34.6,42,0
1/1/2022 20:00,11,33.6,44.3,0
1/1/2022 21:00,8.9,32.6,45.6,0.4
1/1/2022 22:00,8.1,32.7,44,0.3
1/1/2022 23:00,8.7,32.8,44.9,0
1/2/2022 0:00,9.7,32.4,47.3,0.3
1/2/2022 1:00,11.2,32,46.6,0
1/2/2022 2:00,10.1,30.9,48.7,0
1/2/2022 3:00,11,29.9,50.1,0
1/2/2022 4:00,15.4,29.2,52.9,0
1/2/2022 5:00,14.3,28.7,53.9,0
1/2/2022 6:00,13.8,28.7,52.8,0
1/2/2022 7:00,21.3,30.7,50.4,0
1/2/2022 8:00,16.7,35.4,42.7,0
1/2/2022 9:00,9.9,38.6,36.8,0
1/2/2022 10:00,8.5,39.4,35.1,0
1/2/2022 11:00,7.5,40.9,34.1,0
1/2/2022 12:00,6.5,38.9,37.3,0.3
1/2/2022 13:00,6.8,40.3,34.8,0.1
1/2/2022 14:00,6.7,40.1,36,0.1
1/2/2022 15:00,6.3,40,36.5,0
1/2/2022 16:00,7.1,41,35.2,0.1
1/2/2022 17:00,11.3,38.2,37.4,0
1/2/2022 18:00,11.5,35.5,41.8,0
1/2/2022 19:00,11.4,34.1,44.2,0
1/2/2022 20:00,13.7,33.4,45.8,0
1/2/2022 21:00,14,32.9,46,0
1/2/2022 22:00,14.5,32.4,46.8,0
1/2/2022 23:00,17.1,31.8,48.5,0
1/3/2022 0:00,17.8,31.5,49.3,0
1/3/2022 1:00,19.6,31.2,49.6,0
1/3/2022 2:00,22.2,30.2,52.2,0
1/3/2022 3:00,22.7,29.9,52.5,0
1/3/2022 4:00,21,29.3,53.1,0
1/3/2022 5:00,23.6,29.5,52.8,0
1/3/2022 6:00,20.5,29.2,53.2,0
1/3/2022 7:00,25.6,31.4,49.2,0
1/3/2022 8:00,18,34.1,45.5,0
1/3/2022 9:00,7.9,34.7,45,0
1/3/2022 10:00,6,38,39.6,0
1/3/2022 11:00,5,40.2,36.5,0.2
1/3/2022 12:00,4.4,39.4,36.5,0.3
1/3/2022 13:00,4.4,40.1,35.6,0.6
1/3/2022 14:00,4.5,42.6,32.5,0.1
1/3/2022 15:00,5,41.8,34.1,0.2
1/3/2022 16:00,5.5,40.9,35.4,0.1
1/3/2022 17:00,7,37.3,42.2,0.3
1/3/2022 18:00,7.9,35.8,43.4,0.2
1/3/2022 19:00,7.5,35.7,40.5,0.1
1/3/2022 20:00,7.7,34.9,41.5,0
1/3/2022 21:00,9.4,34.2,43.8,0
1/3/2022 22:00,10.1,33.7,45.3,0
